hero_id,hero,item_key,item,rank,timing,games,wr,ci95,baseline_wr,baseline_games,baseline_ci95,delta,avg_gpm,baseline_avg_gpm,avg_early_gpm,baseline_avg_early_gpm,avg_net_worth,baseline_avg_net_worth,status,farm_bias
135,Dawnbreaker,phase_boots,Phase Boots,all,all,109,0.5137614678899083,0.09383141653616697,0.5304018015882422,8437,0.010649464082101413,-0.016640333698333953,523.4587155963303,519.9028090553514,343.4211009174313,337.80869565217404,17001.871559633026,18857.989214175654,unclear,low
12,Phantom Lancer,power_treads,Power Treads,all,all,100,0.55,0.09750876883644875,0.5309037633916308,10921,0.009359739123109011,0.019096236608369233,647.65,624.015383206666,349.4619999999999,348.8257425742573,23958.44,24492.33220401062,unclear,low
14,Pudge,tranquil_boots,Tranquil Boots,all,all,121,0.49586776859504134,0.08908786652447238,0.5079964638752712,24886,0.006211449799470928,-0.012128695280229862,356.3801652892562,398.0692758980953,226.09752066115698,268.0586854460095,11282.347107438016,14024.521980229849,unclear,negative
26,Lion,blink,Blink Dagger,all,all,171,0.52046783625731,0.07487965508849591,0.48501234778165714,23486,0.006391846675944596,0.03545548847565283,347.7309941520468,343.00549263390957,209.8274853801169,207.66894736842104,11403.374269005848,12284.049902069319,unclear,low
26,Lion,tranquil_boots,Tranquil Boots,all,all,161,0.4720496894409938,0.07711405064004159,0.48501234778165714,23486,0.006391846675944596,-0.012962658340663347,318.7329192546584,343.00549263390957,190.48385093167707,207.66894736842104,10284.049689440993,12284.049902069319,unclear,low
86,Rubick,blink,Blink Dagger,all,all,107,0.5981308411214953,0.09289762682907161,0.49718117619132396,16851,0.00754929392693521,0.10094966493017132,402.32710280373834,395.67254168892055,234.94299065420554,235.12867132867135,13101.616822429907,14136.929440389295,signal,low
48,Luna,power_treads,Power Treads,all,all,110,0.4818181818181818,0.09337753523815305,0.505853418593212,10165,0.00971947086194298,-0.024035236775030167,660.2545454545455,661.5356615838662,349.3581818181819,346.953982300885,21306.827272727274,24152.86669945893,unclear,low
48,Luna,lifesteal,Morbid Mask,all,all,109,0.4954128440366973,0.09386302557076281,0.505853418593212,10165,0.00971947086194298,-0.010440574556514703,662.1284403669724,661.5356615838662,348.2201834862385,346.953982300885,21514.43119266055,24152.86669945893,unclear,low
48,Luna,mask_of_madness,Mask of Madness,all,all,102,0.5,0.09703445921171408,0.505853418593212,10165,0.00971947086194298,-0.005853418593211979,666.0098039215686,661.5356615838662,351.9343137254902,346.953982300885,21383.00980392157,24152.86669945893,unclear,low
48,Luna,yasha,Yasha,all,all,107,0.48598130841121495,0.09470293122311867,0.505853418593212,10165,0.00971947086194298,-0.019872110181997027,664.1308411214953,661.5356615838662,352.2757009345795,346.953982300885,21397.551401869157,24152.86669945893,unclear,low
48,Luna,manta,Manta Style,all,all,103,0.49514563106796117,0.0965577181928537,0.505853418593212,10165,0.00971947086194298,-0.010707787525250811,670.4077669902913,661.5356615838662,352.9970873786408,346.953982300885,21739.728155339806,24152.86669945893,unclear,low
7,Earthshaker,blink,Blink Dagger,all,all,101,0.44554455445544555,0.09693358635139152,0.5031465166210113,13507,0.008432144222662601,-0.057601962165565734,463.34653465346537,465.616273043607,288.9712871287128,288.94215686274504,15676.623762376237,17374.46368549641,unclear,low
2,Axe,phase_boots,Phase Boots,all,all,117,0.5213675213675214,0.09051826264067962,0.5007752862595419,16768,0.007568066176513313,0.020592235107979473,493.8119658119658,483.4203244274809,355.8820512820512,347.92575757575753,16673.923076923078,17915.98031965649,unclear,low
2,Axe,blink,Blink Dagger,all,all,130,0.5230769230769231,0.08586009091337053,0.5007752862595419,16768,0.007568066176513313,0.022301636817381176,487.10769230769233,483.4203244274809,348.4723076923076,347.92575757575753,16470.323076923076,17915.98031965649,unclear,low
2,Axe,blade_mail,Blade Mail,all,all,117,0.5470085470085471,0.09019972231208277,0.5007752862595419,16768,0.007568066176513313,0.046233260749005134,497.36752136752136,483.4203244274809,351.74358974358967,347.92575757575753,16968.76923076923,17915.98031965649,unclear,low
36,Necrophos,relic,Sacred Relic,all,all,116,0.49137931034482757,0.0909771905166834,0.4989860665925296,15287,0.007926182175415377,-0.007606756247702018,611.5344827586207,581.1331850592006,386.5258620689657,379.1364341085272,20990.28448275862,21679.16150977955,unclear,low
36,Necrophos,radiance,Radiance,all,all,115,0.4956521739130435,0.09138201611496903,0.4989860665925296,15287,0.007926182175415377,-0.0033338926794860835,614.6347826086957,581.1331850592006,388.00695652173937,379.1364341085272,21120.956521739132,21679.16150977955,unclear,low
36,Necrophos,talisman_of_evasion,Talisman of Evasion,all,all,115,0.4956521739130435,0.09138201611496903,0.4989860665925296,15287,0.007926182175415377,-0.0033338926794860835,614.6347826086957,581.1331850592006,388.00695652173937,379.1364341085272,21120.956521739132,21679.16150977955,unclear,low
36,Necrophos,aghanims_shard,Aghanim's Shard,all,all,122,0.5,0.08872503112166816,0.4989860665925296,15287,0.007926182175415377,0.0010139334074704132,610.8688524590164,581.1331850592006,383.0516393442626,379.1364341085272,21099.56557377049,21679.16150977955,unclear,low
