hero_id,hero,item_key,item,rank,timing,games,wr,ci95,baseline_wr,baseline_games,baseline_ci95,delta,status
11,Shadow Fiend,mask_of_madness,Mask of Madness,all,all,68,0.5,0.11884245626780315,0.48311639313337107,15903,0.007766740740019407,0.01688360686662893,thin
11,Shadow Fiend,falcon_blade,Falcon Blade,all,all,64,0.5,0.1225,0.48311639313337107,15903,0.007766740740019407,0.01688360686662893,thin
54,Lifestealer,blades_of_attack,Blades of Attack,all,all,97,0.5360824742268041,0.09924448870902265,0.5203040979046912,10786,0.009428388962888805,0.015778376322112875,thin
44,Phantom Assassin,black_king_bar,Black King Bar,all,all,58,0.5172413793103449,0.12860377710435164,0.5019412952321789,12878,0.00863572078235506,0.015300084078165965,thin
14,Pudge,shawl,Shawl,all,all,75,0.49333333333333335,0.11315059358938259,0.5079964638752712,24886,0.006211449799470928,-0.014663130541937852,thin
54,Lifestealer,quelling_blade,Quelling Blade,all,all,86,0.5348837209302325,0.10541861497148974,0.5203040979046912,10786,0.009428388962888805,0.014579623025541277,thin
31,Lich,wind_lace,Wind Lace,all,all,81,0.5432098765432098,0.10848151540079766,0.528833746898263,10075,0.009747207535654445,0.014376129644946833,thin
104,Legion Commander,quelling_blade,Quelling Blade,all,all,71,0.5492957746478874,0.11573796472786367,0.5359513274336283,12656,0.008688649558762196,0.013344447214259092,thin
54,Lifestealer,relic,Sacred Relic,all,all,90,0.5333333333333333,0.10307125666555775,0.5203040979046912,10786,0.009428388962888805,0.013029235428642094,thin
104,Legion Commander,phase_boots,Phase Boots,all,all,73,0.547945205479452,0.11417177337116532,0.5359513274336283,12656,0.008688649558762196,0.011993878045823747,thin
106,Ember Spirit,spirit_vessel,Spirit Vessel,all,all,57,0.49122807017543857,0.1297841934361202,0.5030406985810073,6413,0.012237351219776565,-0.011812628405568737,thin
6,Drow Ranger,blades_of_attack,Blades of Attack,all,all,54,0.4444444444444444,0.13253533490248462,0.45598962554709027,12338,0.008788500065894355,-0.011545181102645852,thin
54,Lifestealer,phase_boots,Phase Boots,all,all,96,0.53125,0.09982528682966556,0.5203040979046912,10786,0.009428388962888805,0.010945902095308768,thin
85,Undying,aghanims_shard,Aghanim's Shard,all,all,53,0.5283018867924528,0.13439752992932044,0.5176822853443392,12357,0.008810444232322889,0.01061960144811358,thin
11,Shadow Fiend,lifesteal,Morbid Mask,all,all,77,0.4935064935064935,0.11167194630382668,0.48311639313337107,15903,0.007766740740019407,0.010390100373122435,thin
123,Hoodwink,arcane_boots,Arcane Boots,all,all,81,0.4691358024691358,0.1086812360646342,0.47909898202295864,9234,0.01018946456564558,-0.009963179553822865,thin
106,Ember Spirit,phase_boots,Phase Boots,all,all,75,0.49333333333333335,0.11315059358938259,0.5030406985810073,6413,0.012237351219776565,-0.00970736524767396,thin
104,Legion Commander,blade_mail,Blade Mail,all,all,76,0.5263157894736842,0.11225790396439128,0.5359513274336283,12656,0.008688649558762196,-0.009635537959944096,thin
44,Phantom Assassin,bfury,Battle Fury,all,all,69,0.4927536231884058,0.11796574531499018,0.5019412952321789,12878,0.00863572078235506,-0.009187672043773076,thin
29,Tidehunter,phase_boots,Phase Boots,all,all,52,0.5,0.13590154807518115,0.5086871325930764,7655,0.011199223687561032,-0.008687132593076408,thin
9,Mirana,arcane_boots,Arcane Boots,all,all,67,0.5074626865671642,0.11971271923349651,0.5152877697841727,8896,0.010385456489485302,-0.007825083217008477,thin
26,Lion,glimmer_cape,Glimmer Cape,all,all,67,0.47761194029850745,0.11960597581571773,0.48501234778165714,23486,0.006391846675944596,-0.007400407483149685,thin
8,Juggernaut,ultimate_scepter,Aghanim's Scepter,all,all,53,0.5283018867924528,0.13439752992932044,0.5209027258514037,14711,0.00807281757429704,0.007399160941049088,thin
135,Dawnbreaker,echo_sabre,Echo Sabre,all,all,93,0.5376344086021505,0.10133299491273046,0.5304018015882422,8437,0.010649464082101413,0.0072326070139082654,thin
60,Night Stalker,black_king_bar,Black King Bar,all,all,56,0.5357142857142857,0.13062350477613133,0.5291899441340782,7160,0.011561873590553648,0.006524341580207538,thin
39,Queen of Pain,kaya,Kaya,all,all,59,0.4576271186440678,0.12712615892754203,0.4629856850715746,9780,0.009882421129519318,-0.005358566427506817,thin
93,Slark,gloves,Gloves of Haste,all,all,68,0.5,0.11884245626780315,0.4948637784725324,8956,0.010354904979130969,0.0051362215274676215,thin
135,Dawnbreaker,aghanims_shard,Aghanim's Shard,all,all,97,0.5257731958762887,0.09937164377553345,0.5304018015882422,8437,0.010649464082101413,-0.0046286057119535595,thin
93,Slark,quelling_blade,Quelling Blade,all,all,55,0.4909090909090909,0.13212132939060178,0.4948637784725324,8956,0.010354904979130969,-0.003954687563441472,thin
104,Legion Commander,splintmail,Splintmail,all,all,77,0.5324675324675324,0.11144566046582595,0.5359513274336283,12656,0.008688649558762196,-0.0034837949660958545,thin
5,Crystal Maiden,blink,Blink Dagger,all,all,51,0.5098039215686274,0.13720106595088397,0.5065163508435276,12507,0.008762188964456769,0.0032875707250997754,thin
9,Mirana,wind_lace,Wind Lace,all,all,54,0.5185185185185185,0.13326960830470072,0.5152877697841727,8896,0.010385456489485302,0.003230748734345812,thin
7,Earthshaker,kaya,Kaya,all,all,64,0.5,0.1225,0.5031465166210113,13507,0.008432144222662601,-0.003146516621011286,thin
11,Shadow Fiend,dragon_lance,Dragon Lance,all,all,70,0.4857142857142857,0.11708458480944448,0.48311639313337107,15903,0.007766740740019407,0.0025978925809146403,thin
31,Lich,tranquil_boots,Tranquil Boots,all,all,76,0.5263157894736842,0.11225790396439128,0.528833746898263,10075,0.009747207535654445,-0.0025179574245788316,thin
93,Slark,power_treads,Power Treads,all,all,67,0.4925373134328358,0.11971271923349651,0.4948637784725324,8956,0.010354904979130969,-0.002326465039696579,thin
2,Axe,gauntlets,Gauntlets of Strength,all,all,96,0.5,0.10002083116364643,0.5007752862595419,16768,0.007568066176513313,-0.0007752862595419296,thin
97,Magnus,blink,Blink Dagger,all,all,76,0.4868421052631579,0.11237477844056908,0.48636025899586033,9421,0.010092898811099166,0.00048184626729758095,thin
26,Lion,dust,Dust of Appearance,all,all,66,0.48484848484848486,0.12057426291978211,0.48501234778165714,23486,0.006391846675944596,-0.0001638629331722763,thin
